train;Gender;Nationality;PreEducation;Program;Year;BSA;Course3-1;Course9-1;Course8-1;Course7-1;Course3-R;Course9-R;Credits-B1B2;Course23;Course26;Course3;Course16;Course8;Course9;Course22;Course7;Course25;Course24;Credits-Y1
1;F;Nederland;Vwo;Program1;21/22;NE;1.5;;;;2.5;;0;;;2.5;;;;;;;;0
2;M;Nederland;Vwo;Program1;21/22;NE;3.5;5.0;2.0;;3.5;;0;1.5;5.0;3.5;;3.5;5.0;4.0;1.0;2.0;4.0;0
3;M;Azie;Buitenlands;Program1;21/22;NE;2.5;1.0;2.0;;2.5;;0;;;2.5;;2.5;1.5;;;;;0
4;F;Nederland;Vwo;Program1;21/22;NE;5.0;1.0;3.0;;5.0;;0;;;5.0;;3.5;1.5;2.5;;;;0
5;M;EU;Buitenlands;Program1;21/22;NE;;;;;;;0;;;;;;;;;;;0
6;F;EU;Buitenlands;Program1;21/22;NE;;;;;;;0;;;;6.5;;;3.5;;6.0;;12
7;F;EU;Buitenlands;Program1;21/22;NE;;;4.0;;;;0;5.0;7.5;;7.5;4.0;;7.0;5.0;5.0;4.5;18
8;F;Nederland;Vwo;Program1;21/22;NE;6.0;6.0;4.0;;;;12;;;6.0;7.0;4.5;6.5;;;;;18
9;M;EU;Buitenlands;Program1;21/22;NE;5.0;4.0;2.5;;6.5;;6;6.0;5.0;6.5;6.0;5.0;5.0;7.0;5.0;3.5;3.0;24
10;F;Nederland;Overig;Program1;21/22;NE;6.5;3.0;3.5;7.0;;;12;2.5;6.0;6.5;;6.5;3.5;5.0;7.0;4.5;4.5;24
11;M;Nederland;Buitenlands;Program1;21/22;NE;6.0;5.0;4.5;;;;6;3.5;7.5;6.0;7.0;4.0;7.5;6.0;5.0;6.0;4.5;36
12;M;EU;Buitenlands;Program1;21/22;NE;7.0;8.5;6.0;6.0;;;24;6.0;;7.0;6.0;6.0;9.0;4.5;6.0;5.0;5.0;36
13;M;Nederland;Vwo;Program1;21/22;PS;7.5;6.0;8.5;7.5;;;24;2.5;;7.5;;8.5;6.5;8.0;7.5;6.5;7.5;42
14;M;Nederland;Vwo;Program1;21/22;PS;7.0;6.0;6.0;7.0;;;24;7.0;;7.0;;6.0;6.5;6.0;7.5;6.0;4.5;42
15;F;EU;Buitenlands;Program1;21/22;PS;7.0;8.5;6.0;6.5;;;24;5.0;;7.0;7.0;6.0;9.0;6.5;6.5;2.5;6.0;42
